material_id,pretty_formula,work_function,miller_index,surface_energy,fermi_energy,structure_type,symmetry_symbol,atomic_density_3d,c_over_a_ratio,b_over_a_ratio,lattice_alpha,lattice_beta,lattice_gamma,atomic_number,atomic_radius,1st_ionization_energy_eV,electron_affinity_eV,electronegativity,valence_electrons,Youngs_modulus,shear_modulus,bulk_modulus
mp-124,Ag,4.006227218471048,"[3, 2, 1]",0.8606226337582074,-0.4663,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.209580245203061,"[1, 0, 0]",0.8183928206545271,-0.55979887,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-132,Ca,2.5461469956523666,"[1, 0, -1, 1]",0.4686458630994547,-0.245,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.5597301415402445,"[1, 1, -2, 0]",0.5028244559706508,-0.26,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.4800354664552735,"[1, 1, -2, 1]",0.5421281756921702,-0.2416,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.3524234777279407,"[2, 2, -4, 1]",0.5280422716028756,-0.2553,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.6550205178538286,"[2, 1, -3, 2]",0.5264080822106276,-0.2838,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.394122612524721,"[2, 1, -3, 0]",0.504624965846374,-0.2655,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.3612427170073116,"[2, 1, -3, 1]",0.5222731860343007,-0.2479,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.5157412419615524,"[1, 0, -1, 0]",0.47102990884989404,-0.2595,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.7017734656648975,"[1, 0, -1, 2]",0.5425934199284677,-0.3135,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.4463600018583627,"[2, 0, -2, 1]",0.5448393241711807,-0.2249,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
mp-132,Ca,2.364992000192998,"[2, -1, -1, 2]",0.5297224869995876,-0.2164,HCP,P6_3/mmc,0.022952413577740378,1.6509894496026671,1.722483400910079,90.0,90.0,90.0,20,1.8,6.11315547,0.024551,1.0,2,20.0,7.4,17.0
